NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
21.34900736,-11.06,-4.47,-3.73
21.41611622,-10.4,-3.96,0.24
21.45805926,-13.42,-7.37,-3.65
21.54194534,-8.16,-3.73,-5.45
21.62583142,-9.1,-4,-4.28
21.7013289,-6.98,-1.96,-3.73
21.79360358,-7.81,-0.82,-3.02
21.87748966,-8.08,-0.16,-1.88
21.95298714,-11.3,-2.24,-3.41
22.03687322,-12.36,-1.57,-0.59
22.10398208,-15.85,-0.43,-6.9
22.24658842,-6.9,-1.1,-5.22
22.32208589,-9.18,-2.24,-4.31
22.80023654,-6.63,-2.12,-2.98
23.29516442,-8.55,-2.9,-2.28
23.32033024,-7.61,-3.18,-2.31
23.33710746,-10.51,-5.22,-3.18
23.33710746,-9.02,-5.53,-13.93
23.34549606,-12.75,0.78,-3.49
23.40421632,-12.36,-2.28,-6.75
23.4881024,-13.1,-3.18,-2
23.58037709,-7.06,-2.16,-4.39
23.63909734,-7.73,-3.06,-4.16
23.73137203,-7.34,-3.22,-2.71
23.82364672,-9.65,-3.26,-2.55
23.88236698,-9.61,-4.39,-2.82
24.0165847,-9.96,-7.49,-4.63
24.09208218,-10.16,-5.81,-6
24.15080243,-15.57,-4.75,-3.57
24.23468851,-7.57,-2.82,-3.45
24.30179738,-7.1,0.9,-3.45
24.37729485,-8.2,-2.75,-2.47
24.46956954,-9.38,-0.82,-2.35
24.54506701,-13.53,-2.82,-2.59
24.6373417,-12.71,1.37,-4.82
24.70445056,-12.63,-3.3,-7.53
24.79672525,-12,-3.73,-2.43
24.8554455,-6.9,-0.9,-3.73
24.96449741,-6.79,-3.06,-3.22
25.03160627,-8.12,-3.26,-2.04
25.09032653,-8.51,-2.9,-1.96
25.24132147,-11.45,-5.41,-2.35
25.30843034,-8.16,-5.73,-0.35
25.35037338,-14.12,-9.53,-6.83
