NAME:,walk_2_1,,
EXPERIMENT TIME:,Thu Jun 08 14:03:40 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS,117,,
,,,
Time [sec], ACC X,ACC Y,ACC Z
49.288,15.06,-4.79,3.37
49.389,9.22,0.31,-0.78
49.49,10.32,-2.63,0
49.591,4.82,-1.96,-0.31
49.692,6.24,-2.71,1.14
49.793,16.95,-9.81,-2.75
49.894,11.61,0.78,-2.31
49.995,9.38,-2.35,-1.29
50.096,5.22,0.82,0.35
50.197,3.65,-2.86,1.69
50.298,13.1,-3.02,3.06
50.399,10.47,-1.41,1.06
50.5,12.2,-0.63,-0.16
50.601,8,-3.45,-1.8
50.702,5.26,-1.73,-0.31
50.803,10.47,-4.51,0.16
50.904,16.75,-2.59,-2.9
51.005,11.18,-2.04,-0.82
51.106,6.86,-1.92,0.27
51.207,6.24,-1.33,1.1
51.308,6.24,-1.41,4.04
51.409,14.04,-2.04,3.45
51.51,8.9,-2.28,0.08
51.611,8.71,-3.22,0.04
51.712,7.14,-2.04,-0.63
51.813,8.39,-5.02,-0.31
51.914,14.75,-3.88,-2.55
52.015,12.04,-3.1,-3.37
52.116,8.04,-2.55,0.75
52.217,8.16,-0.16,-0.47
52.318,4.71,-0.78,0.39
52.419,6.32,-2.51,2.79
52.52,12.36,-6.32,4.67
52.621,11.02,0.71,-0.98
52.722,14.59,0.67,-2.39
52.823,6.32,-1.96,-0.98
52.924,7.3,-4.94,0.16
53.025,9.89,-4.35,0.78
53.126,15.3,-2.82,-2.82
53.227,13.14,-1.26,-0.16
53.328,6.94,-5.02,-0.04
53.429,3.61,-0.59,1.37
53.53,10.08,-2.59,1.26
53.631,10.32,-6.51,5.1
53.732,7.69,3.3,-0.47
53.833,11.96,-0.59,-1.69
53.934,7.88,-5.14,-1.33
54.035,8.83,-6.47,0.63
54.136,10.55,-4.31,0.82
54.237,14.87,-6.51,-2.94
54.338,13.89,-1.33,0.24
54.439,5.61,-0.71,0.12
54.54,5.06,-1.14,2.04
54.641,13.93,-4.67,0.2
54.742,19.38,-0.63,-0.86
54.843,6.47,-2.24,-0.31
54.944,8.04,1.57,0.04
55.045,7.49,-5.02,-1.18
55.146,8.94,-2.08,0.55
55.247,12.55,-4.86,0.31
55.348,10.59,-2.08,-1.18
55.449,10.98,-5.77,0.51
55.55,4.59,-0.35,1.14
55.651,7.73,-1.88,1.29
55.752,12.36,-5.22,2
55.853,15.57,2.04,-2.63
55.954,8.28,-1.18,-0.67
56.055,9.41,-0.63,-0.63
56.156,8.12,-5.57,1.1
56.257,10.24,-3.18,0.47
56.358,14.71,-9.81,-2.47
56.459,10.83,-3.88,-1.8
56.56,10.59,0.16,-3.1
56.661,5.81,-1.06,0.24
56.762,4.59,-2.51,1.84
56.863,10.94,-6,4.35
56.964,12.51,-2.39,1.65
57.065,10.51,-0.47,-0.12
57.166,6.63,-4.24,-1.53
57.267,7.02,-1.14,-0.82
57.368,10.83,-6.83,0.12
57.469,18.32,-4.98,-3.18
