"NAME:","Run_4_1"
"EXPERIMENT TIME:","2023/06/06 12:16:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","120"

"Time[sec]","ACC X","ACC Y","ACC Z"
"16.687945312500005","11.14","2.12","-19.46"
"16.76894531249991","-5.45","-20.01","-6.08"
"16.84994531250004","-2.94","3.02","2.12"
"16.930945312499944","0.31","-2.08","-3.77"
"17.011945312500075","1.02","7.53","-12.32"
"17.092945312499978","0.82","-20.01","-20.01"
"17.17394531250011","-2.12","-8.51","-1.73"
"17.254945312500013","-3.53","0.24","1.29"
"17.335945312499916","-0.24","0.75","-0.82"
"17.416945312500047","3.02","0.39","-16.83"
"17.49794531249995","-2.24","-20.01","-8.90"
"17.578945312500082","-7.96","6.00","-0.47"
"17.659945312499985","0.31","-4.79","-3.18"
"17.74094531249989","-1.29","0.51","1.02"
"17.82194531250002","1.73","-19.30","-10.40"
"17.902945312499924","11.38","-5.73","0.94"
"17.983945312500055","0.82","4.16","-0.94"
"18.064945312499958","-4.90","-4.55","-4.55"
"18.14594531250009","-8.20","16.32","-20.01"
"18.226945312499993","1.49","-20.01","-0.86"
"18.307945312499896","5.88","-4.04","-1.65"
"18.388945312500027","6.86","-1.57","-1.22"
"18.46994531249993","-4.67","3.22","-2.55"
"18.550945312500062","-4.12","-20.01","-19.77"
"18.631945312499965","4.16","-7.61","-3.92"
"18.712945312500096","1.37","6.47","-0.24"
"18.7939453125","-4.12","-0.75","-8.83"
"19.603945312499945","-1.10","8.67","-20.01"
"19.684945312500076","-4.63","-20.01","-8.63"
"19.76594531249998","3.18","4.12","-4.63"
"19.84694531250011","4.59","-7.18","-1.06"
"19.927945312500015","-2.94","0.39","2.08"
"20.008945312499918","-0.82","-14.20","-16.91"
"20.08994531250005","8.28","-13.93","-2.86"
"20.170945312499953","0.20","7.77","-1.29"
"20.251945312500084","-1.06","-5.45","-1.61"
"20.332945312499987","-2.98","4.94","-19.69"
"20.41394531249989","-4.24","-20.01","-10.36"
"20.494945312500022","7.02","-12.67","-3.06"
"20.575945312499925","2.86","3.30","-0.86"
"20.656945312500056","0.35","1.02","-3.73"
"20.73794531249996","-1.57","-20.01","-7.18"
"20.81894531250009","6.59","-15.61","3.33"
"20.899945312499995","-0.59","4.43","-2.35"
"20.980945312499898","-3.69","-7.14","-2.12"
"21.06194531250003","-4.51","8.75","-20.01"
"21.142945312499933","-0.04","-20.01","-11.89"
"21.223945312500064","4.20","-10.32","-2.75"
"21.304945312499967","5.96","5.26","-0.94"
"21.3859453125001","-3.41","2.55","-0.35"
"21.466945312500002","4.51","-13.69","-5.73"
"21.547945312499905","6.83","-19.06","-1.22"
"21.628945312500036","3.84","7.61","-1.77"
"21.70994531249994","-3.30","-7.14","-3.02"
"21.79094531250007","1.88","4.04","-9.77"
"21.871945312499975","-0.08","-20.01","-13.85"
"21.952945312500106","2.12","-6.20","-2.59"
"22.03394531250001","2.98","-0.82","0.75"
"22.114945312499913","-3.22","4.16","-0.35"
"22.195945312500044","9.14","-20.01","-9.14"
"22.276945312499947","5.06","-12.79","3.73"
"22.357945312500078","1.96","7.77","-0.63"
"22.438945312499982","-0.39","-6.75","-2.24"
"22.519945312500113","-5.96","7.69","-20.01"
"22.600945312500016","-1.73","-20.01","-11.38"
"22.68194531249992","3.37","1.69","-3.14"
"22.76294531250005","4.20","-4.75","1.37"
"22.843945312499955","-2.94","0.35","0.67"
"22.924945312500085","-8.00","-20.01","-20.01"
"23.00594531249999","3.80","-8.39","-3.53"
"23.086945312499893","0.75","8.36","0.43"
"23.167945312500024","-3.84","0.71","-7.14"
"23.248945312499927","-8.24","6.90","-20.01"
"23.329945312500058","-4.28","-20.01","-2.51"
"23.410945312499962","2.79","-6.24","-4.55"
"23.491945312500093","4.79","1.37","1.26"
"23.572945312499996","-2.39","1.96","1.06"
"23.6539453124999","-0.43","-15.57","-8.32"
"23.73494531250003","7.65","-13.85","-1.06"
"23.815945312499935","3.57","5.30","-0.82"
"23.896945312500065","-5.73","-1.65","-5.10"
"23.97794531249997","-6.71","1.65","-20.01"
"24.0589453125001","-5.26","-20.01","-2.08"
"24.139945312500004","3.33","-6.20","-2.08"
"24.220945312499907","4.79","2.67","-0.63"
"24.301945312500038","-1.84","-0.31","-0.63"
"24.382945312499942","-7.69","-14.16","-17.93"
"24.463945312500073","5.53","-15.14","-3.61"
"24.544945312499976","2.67","8.24","-3.53"
"24.625945312500107","-3.96","-5.88","-2.04"
"24.70694531250001","-0.67","2.24","-7.88"
"24.787945312499915","3.18","-20.01","-10.98"
"25.597945312500087","-1.02","-10.36","-6.67"
"25.67894531249999","-2.12","2.67","3.02"
"25.759945312499894","-0.35","3.80","-4.28"
"25.840945312500025","6.12","11.77","-20.01"
"25.92194531249993","4.75","-20.01","-2.47"
"26.00294531250006","1.26","-3.30","-1.96"
"26.083945312499964","-5.57","-8.51","1.80"
"26.164945312500095","1.33","0.31","2.24"
"26.245945312499998","11.26","-11.10","-20.01"
"26.3269453124999","-1.73","-17.38","-5.57"
"26.407945312500033","-9.73","4.31","2.08"
"26.488945312499936","1.77","-3.80","-3.33"
"26.569945312500067","0.47","2.39","-4.94"
"26.65094531249997","-2.47","-20.01","-20.01"
"26.731945312500102","-1.18","-12.12","-2.94"
"26.812945312500005","1.10","11.45","-3.30"
"26.89394531249991","-0.51","1.77","-4.31"
"26.97494531250004","1.73","-20.01","6.32"
"27.055945312499944","0.04","-20.01","0.20"
"27.136945312500075","-6.24","1.88","-0.12"
"27.217945312499978","3.22","-1.84","-6.39"
"27.29894531250011","-3.10","0.94","-0.08"
"27.379945312500013","-5.45","-20.01","-19.61"
"27.460945312499916","2.00","-13.89","-2.08"
"27.541945312500047","2.98","13.93","-2.35"
"27.62294531249995","-2.04","-0.86","-7.57"
"27.703945312500082","-4.08","-13.22","-16.40"
"27.784945312499985","-5.02","-20.01","-1.96"
"27.86594531249989","-0.16","-1.26","-2.28"
"27.94694531250002","7.92","0.24","-0.55"
"28.027945312499924","-4.55","1.26","1.88"
"28.108945312500055","-0.24","-20.01","-20.01"
"28.189945312499958","-3.26","-8.32","-1.14"
"28.27094531250009","0.35","7.37","-0.08"
"28.351945312499993","0.00","2.51","-5.37"
"28.432945312499896","-12.04","-20.01","-1.77"
"28.513945312500027","0.55","-20.01","4.04"
"28.59494531249993","-4.00","4.04","0.78"
"28.675945312500062","2.94","-3.96","-5.57"
"28.756945312499965","-1.61","1.49","-0.20"
"28.837945312500096","-3.65","-20.01","-20.01"
"28.9189453125","-2.04","-11.69","-4.24"
"28.999945312499904","1.14","11.45","-1.92"
"29.080945312500035","-0.63","4.16","-6.51"
"29.161945312499938","-6.16","-20.01","-0.16"
"29.24294531250007","0.16","-20.01","-0.55"
"29.323945312499973","-7.73","4.75","-0.43"
"29.404945312500104","2.79","-5.26","-2.63"
"29.485945312500007","-1.18","-0.67","0.98"
"29.56694531249991","-5.33","-20.01","-20.01"
"29.647945312500042","-3.30","-10.94","-2.82"
"29.728945312499945","-3.33","9.18","-2.82"
"29.809945312500076","-2.79","4.00","-7.81"
"29.89094531249998","-1.92","-20.01","-7.69"
"29.97194531250011","-4.59","-20.01","-1.26"
"30.052945312500015","-0.82","-2.04","-2.67"
"30.133945312499918","7.10","1.92","-1.14"
"30.21494531250005","-3.06","-2.35","0.82"
"30.295945312499953","-1.53","-13.02","-20.01"
"30.376945312500084","8.16","-16.08","-4.28"
"30.457945312499987","2.24","9.65","-0.90"
"30.53894531249989","-4.35","-4.63","-4.08"
"30.619945312500022","3.18","0.12","-1.53"
"31.591945312500002","4.71","3.45","-1.02"
"31.672945312499905","-2.43","2.75","-2.55"
"32.483945312500055","3.18","8.90","-19.14"
"32.56494531249996","6.55","-20.01","-5.81"
"34.02294531250004","7.88","-20.01","-16.48"
"34.103945312499945","-4.82","-9.69","-1.14"
"34.184945312500076","-2.55","2.75","0.12"
"34.26594531249998","4.08","1.77","-1.61"
"34.34694531250011","-7.22","-20.01","-4.12"
"34.427945312500015","-3.77","-20.01","5.02"
"34.50894531249992","-2.90","-1.22","1.18"
"34.58994531250005","3.30","-0.94","-4.55"
"34.67094531249995","-5.22","0.04","0.86"
"34.751945312500084","-2.63","-20.01","-19.97"
"34.83294531249999","0.63","-9.34","-0.98"
"34.91394531249989","1.80","11.57","-2.20"
"34.99494531250002","-1.06","-1.22","-5.37"
"35.075945312499925","5.53","-2.75","-19.89"
"35.156945312500056","-0.59","-20.01","-8.12"
"35.23794531249996","-4.12","3.02","-1.45"
"35.31894531250009","4.39","1.41","-2.67"
"35.399945312499995","1.29","2.51","-5.33"
"35.4809453124999","-4.20","-20.01","-20.01"
"35.56194531250003","0.39","-10.51","-4.00"
"35.64294531249993","-1.22","10.24","-3.26"
"35.723945312500064","-1.41","-1.29","-4.12"
"35.80494531249997","-5.26","-20.01","8.47"
"35.8859453125001","-3.57","-20.01","-0.51"
"35.9669453125","1.33","-2.86","-3.30"
"36.047945312499905","7.02","1.45","-1.29"
"36.128945312500036","-7.69","0.04","2.63"
"36.20994531249994","2.67","-19.97","-14.40"
"36.29094531250007","2.63","-15.02","-0.90"
"36.371945312499975","7.14","5.10","-3.37"
"36.452945312500106","-3.22","-10.12","-1.29"
"36.53394531250001","-1.65","7.34","-18.24"
"36.61494531249991","-1.80","-20.01","-12.47"
"36.695945312500044","6.75","-8.87","-3.73"
"36.77694531249995","2.98","5.84","0.27"
"36.85794531250008","-2.98","-0.75","-1.88"
"36.93894531249998","4.94","-20.01","1.26"
"37.01994531250011","5.26","-20.01","1.18"
"37.100945312500016","-0.78","0.75","-0.59"
"37.18194531249992","-3.41","-9.77","-0.75"
"37.26294531250005","-1.37","5.57","-14.51"
"37.343945312499955","0.94","-20.01","-13.45"
"37.424945312500085","1.92","-11.77","-5.57"
"37.50594531249999","4.82","3.22","2.00"
"37.58694531249989","-4.31","-0.24","-1.65"
"37.667945312500024","8.08","-8.79","-18.67"
"37.74894531249993","2.67","-20.01","-5.41"
