"NAME:","walk_4_1"
"EXPERIMENT TIME:","2023-06-09 16:46:36"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
"",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"19.383","-0.04","-0.75","4.39"
"19.434","0.12","-2.24","7.41"
"19.485","3.84","-6.79","10.04"
"19.536","2.51","-6.67","10.83"
"19.587","2.67","-7.37","11.61"
"19.638","2.59","-6.55","10.87"
"19.689","2.55","-5.1","7.73"
"19.74","0.75","-5.06","8.83"
"1971.7476","1.18","-5.57","7.14"
"19.893","0.67","-4.0","6.43"
"19.944","0.55","-2.94","5.33"
"19.995","1.06","-5.49","9.45"
"20.046","0.9","-5.88","9.77"
"20.097","1.26","-8.94","12.08"
"20.148","0.63","-7.65","9.61"
"20.199","2.08","-7.57","8.98"
"20.25","0.16","-5.37","6.94"
"20.301","0.59","-5.41","8.08"
"20.352","1.33","-3.96","6.24"
"20.403","1.18","-2.98","5.81"
"20.454","0.27","-2.24","4.86"
"1978.89","1.37","-4.86","7.92"
"20.607","1.57","-5.22","9.73"
"20.658","2.67","-7.26","11.38"
"20.709","3.02","-6.32","9.81"
"20.76","2.63","-4.55","6.55"
"20.811","2.16","-6.86","8.63"
"20.862","1.33","-6.16","7.73"
"20.913","2.67","-6.2","6.71"
"20.964","0.35","-2.39","5.77"
"21.015","-0.08","-2.16","6.28"
"21.066","1.73","-6.28","10.12"
"21.117","-0.24","-5.73","10.04"
"21.168","0.71","-6.9","8.79"
"1986.0293","1.41","-7.49","10.2"
"21.321","-1.1","-5.02","7.77"
"21.372","0.39","-5.3","8.12"
"21.423","1.65","-4.55","7.45"
"21.474","3.41","-4.55","8.55"
"21.525","0.39","-0.82","6.04"
"21.576","1.18","-2.24","8.16"
"21.627","1.18","-3.33","8.12"
"21.678","2.71","-5.53","9.18"
"21.729","1.53","-6.63","11.65"
"21.78","3.33","-7.88","10.59"
"21.831","2.63","-6.43","7.65"
"21.882","1.73","-5.81","6.67"
"21.933","1.22","-4.35","6.86"
"21.984","0.08","-2.43","6.24"
"22.035","-0.12","-1.37","5.45"
"22.086","-0.12","-2.55","8.39"
"22.137","1.49","-6.16","10.36"
"22.188","1.22","-7.41","10.79"
"22.239","0.86","-7.22","11.18"
"22.29","2.31","-9.06","11.22"
"22.341","-0.08","-6.35","8.9"
"22.392","-0.75","-4.55","7.61"
"22.443","1.53","-5.3","7.26"
"22.494","0.98","-3.45","6.12"
"22.545","0.39","-1.88","5.65"
"22.596","0.43","-2.51","7.1"
"22.647","3.84","-6.2","9.53"
"2000.8197","2.28","-5.06","10.12"
"22.8","3.14","-6.71","10.36"
"22.851","2.35","-5.22","8.0"
"22.902","2.24","-6.04","8.2"
"22.953","0.67","-5.26","7.61"
"23.004","0.12","-3.88","6.86"
"23.055","-1.53","-0.94","5.84"
"23.106","-0.27","-2.2","7.1"
"23.157","2.71","-5.33","9.02"
"23.208","0.94","-3.69","9.1"
"23.259","1.29","-6.24","9.92"
"23.31","4.28","-10.59","12.87"
"23.361","2.43","-7.81","8.2"
"23.412","-1.84","-4.43","6.47"
"23.463","-0.2","-4.75","7.14"
"23.514","1.96","-5.65","6.98"
"23.565","1.29","-3.37","5.65"
"23.616","1.02","-2.47","6.12"
"23.667","1.29","-3.65","8.39"
"23.718","1.92","-4.2","9.81"
"23.769","1.92","-4.79","10.16"
"23.82","2.94","-8.0","11.96"
"23.871","4.16","-8.04","10.0"
"23.922","2.79","-6.98","8.83"
"23.973","3.06","-7.49","7.73"
"24.024","1.06","-4.24","5.53"
"24.075","-0.55","-1.96","5.33"
"24.126","0.82","-2.47","3.96"
"24.177","0.55","-2.24","7.18"
"24.228","2.79","-5.18","8.28"
"24.279","0.75","-4.98","9.73"
"24.33","0.9","-5.77","10.79"
"24.381","4.08","-9.57","12.79"
"25.404","3.22","-9.57","12.28"
"25.455","4.47","-8.55","8.98"
"25.506","0.31","-4.98","7.77"
"25.557","0.67","-5.53","8.08"
"2029.9177","1.57","-4.28","6.47"
"25.71","1.65","-3.18","6.28"
"25.761","1.41","-3.88","8.47"
"25.812","2.71","-5.73","9.85"
"25.863","2.16","-5.57","9.69"
"25.914","1.61","-6.63","11.41"
"25.965","2.9","-8.47","12.0"
"26.016","1.84","-6.2","8.12"
"26.067","1.41","-4.86","5.61"
"26.118","1.26","-4.51","6.08"
"26.169","1.02","-3.57","5.1"
"26.22","0.08","-2.67","6.32"
"26.271","0.08","-3.18","7.34"
"26.322","2.43","-6.79","9.96"
"26.373","0.86","-6.67","9.69"
"26.424","-0.35","-5.88","9.22"
"26.475","4.12","-10.55","11.89"
"26.526","2.12","-6.04","7.65"
"26.577","-0.82","-3.84","6.86"
"26.628","0.9","-5.41","7.77"
"26.679","1.1","-4.0","6.04"
"26.73","1.02","-2.9","5.06"
"26.781","0.71","-2.63","5.57"
"26.832","3.61","-6.47","9.45"
"26.883","2.24","-6.04","10.83"
"26.934","1.84","-6.75","11.34"
"26.985","3.1","-7.69","10.16"
"27.036","3.1","-6.28","7.85"
"27.087","2.0","-6.63","7.77"
"27.138","1.53","-5.3","6.71"
"27.189","0.55","-3.61","5.88"
"27.24","0.2","-2.71","5.53"
"27.291","0.59","-2.9","5.88"
"27.342","0.27","-4.31","8.98"
"27.393","1.22","-6.47","9.81"
"27.444","0.71","-7.77","11.53"
"27.495","1.26","-8.08","11.18"
"27.546","3.02","-7.81","8.9"
"27.597","0.04","-4.79","6.2"
"27.648","-0.98","-4.47","8.43"
"27.699","1.69","-5.26","7.45"
"27.75","0.67","-2.86","5.65"
"27.801","1.18","-2.82","5.18"
"27.852","1.8","-4.63","8.0"
"27.903","2.71","-6.0","9.61"
"27.954","1.49","-6.2","11.41"
"28.005","1.14","-6.43","10.51"
