"NAME: ","run_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:41:12"
"ACTIVITY TYPE: ","RUNNING"
"COUNT OF ACTUAL STEPS: ","130"

"Time[sec]","ACC X","ACC Y","ACC Z"
"33.7","0.90","6.71","0.75"
"33.8","-10.32","17.73","5.96"
"33.9","-6.04","6.71","6.47"
"34.0","-6.24","1.26","-2.31"
"34.1","-6.51","3.65","-1.57"
"34.2","-13.26","12.79","-1.84"
"34.3","-7.96","14.28","8.63"
"34.4","-0.86","4.00","0.82"
"34.5","0.63","3.53","1.41"
"34.6","-6.16","9.18","3.06"
"34.7","-10.12","13.14","6.63"
"34.8","-5.06","6.39","1.49"
"34.9","-4.12","1.49","-0.86"
"35.0","-8.47","8.04","-0.27"
"35.1","-9.14","15.14","4.04"
"35.2","-2.51","10.08","5.33"
"35.3","0.04","2.55","0.27"
"35.4","-1.29","4.51","0.55"
"35.5","-3.80","14.67","8.47"
"35.6","-8.24","12.75","7.10"
"35.7","-4.98","3.02","1.26"
"35.8","-5.65","2.31","-0.31"
"35.9","-12.28","7.81","3.14"
"36.0","-10.32","13.89","4.04"
"36.1","-5.45","7.61","1.53"
"36.2","0.08","3.37","0.27"
"36.3","-2.59","6.47","1.26"
"36.4","-9.18","16.83","2.86"
"36.5","-9.65","9.89","2.82"
"36.6","-4.20","0.43","0.39"
"36.7","-5.77","4.63","-0.16"
"36.8","-8.83","13.93","5.18"
"36.9","-6.12","11.81","6.08"
"37.0","-1.45","5.77","2.20"
"37.1","0.78","3.73","0.63"
"37.2","-6.79","12.59","3.96"
"37.3","-9.30","10.90","3.61"
"37.4","-2.90","7.81","4.47"
"37.5","-5.33","2.75","-1.45"
"37.6","-7.49","4.71","-0.86"
"37.7","-14.04","14.12","-1.26"
"37.8","-6.24","9.49","4.00"
"37.9","-0.82","4.04","-0.98"
"38.0","-2.24","3.61","1.49"
"38.1","-8.43","11.06","7.53"
"38.2","-9.10","6.67","4.20"
"38.3","-4.04","1.77","0.63"
"38.4","-7.34","6.24","0.12"
"38.5","-14.08","10.87","4.35"
"38.6","-8.08","14.36","6.08"
"38.7","-2.94","7.37","0.47"
"38.8","-0.04","3.22","1.57"
"38.9","1.49","5.73","1.18"
"39.0","-6.71","13.49","9.73"
"39.1","-6.35","6.67","4.31"
"39.2","-4.20","0.67","0.35"
"39.3","-7.41","5.22","2.47"
"39.4","-10.87","11.81","8.39"
"39.5","-6.12","9.45","5.10"
"39.6","-1.14","2.55","-0.27"
"39.7","1.29","4.35","2.08"
"39.8","-4.86","15.73","10.75"
"39.9","-7.77","10.32","8.98"
"40.0","-5.10","0.55","-0.98"
"40.1","-7.49","2.59","-1.96"
"40.2","-17.30","11.53","4.35"
"40.3","-6.94","12.04","9.10"
"40.4","-0.63","4.71","0.78"
"40.5","2.55","3.06","1.14"
"40.6","-5.65","8.08","5.73"
"40.7","-10.40","13.06","7.18"
"40.8","-6.20","6.24","4.43"
"40.9","-5.02","1.53","-0.47"
"41.0","-7.18","3.61","4.04"
"41.1","-9.53","12.04","8.83"
"41.2","-4.55","7.14","8.87"
"41.3","-0.43","3.02","0.86"
"41.4","1.80","4.20","0.71"
"41.5","-8.20","10.75","9.06"
"41.6","-9.06","12.83","6.08"
"41.7","-4.63","6.90","1.06"
"41.8","-5.45","2.43","0.08"
"41.9","-6.63","6.35","3.02"
"42.0","-7.30","13.42","7.14"
"42.1","-3.45","10.12","5.69"
"42.2","0.16","2.71","-0.20"
"42.3","0.35","5.61","2.00"
"42.4","-0.59","16.63","7.26"
"42.5","-6.00","11.73","6.59"
"42.6","-4.39","2.55","0.20"
"42.7","-6.00","3.45","-0.20"
"42.8","-11.10","12.79","6.20"
"42.9","-1.29","10.04","10.67"
"43.0","-0.12","5.65","0.86"
"43.1","0.86","1.69","1.37"
"43.2","-2.47","6.32","3.65"
"43.3","-9.57","13.93","8.08"
"43.4","-6.08","7.06","2.43"
"43.5","-3.30","1.84","0.90"
"43.6","-6.43","5.81","1.37"
"43.7","-6.43","13.49","10.28"
"43.8","-3.84","7.88","6.28"
"43.9","1.61","5.53","1.26"
"44.0","2.16","5.96","2.94"
"44.1","-8.79","7.41","6.47"
"44.2","-11.96","8.83","4.51"
"44.3","-3.69","4.00","4.39"
"44.4","-3.37","1.14","-0.71"
"44.5","-6.35","9.34","6.75"
"44.6","-6.75","11.38","9.49"
"44.7","-3.41","7.06","2.75"
"44.8","1.65","3.26","0.55"
"44.9","-0.55","6.55","1.06"
"45.0","-7.14","14.28","10.16"
"45.1","-6.20","10.63","5.02"
"45.2","-5.61","2.71","0.35"
"45.3","-6.28","2.67","1.65"
"45.4","-11.53","9.81","6.86"
"45.5","-6.90","13.22","6.75"
"45.6","-1.29","6.20","2.39"
"45.7","1.96","2.98","0.59"
"45.8","-1.84","3.80","4.00"
"45.9","-10.71","13.22","7.81"
"46.0","-7.45","9.14","2.00"
"46.1","-5.33","2.59","-0.78"
"46.2","-6.75","1.45","-0.94"
"46.3","-8.39","10.08","10.63"
"46.4","-5.10","9.38","7.02"
"46.5","1.18","4.51","1.77"
"46.6","0.90","3.65","1.18"
"46.7","-3.10","13.73","9.30"
"46.8","-6.86","12.63","6.47"
"46.9","-4.67","2.75","-0.47"
"47.0","-5.65","3.61","0.08"
"47.1","-8.32","12.28","3.80"
"47.2","-5.88","15.65","7.53"
"47.3","-3.02","4.98","3.10"
"47.4","1.88","0.59","-0.47"
"47.5","0.12","5.92","2.28"
"47.6","-5.65","12.98","7.30"
"47.7","-4.39","10.59","3.57"
"47.8","-3.96","1.73","1.80"
