"NAME: ","walk_3_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:39:39"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","56"

"Time[sec]","ACC X","ACC Y","ACC Z"
"20.4","-5.73","8.87","-0.59"
"20.5","-5.02","8.32","-0.71"
"20.6","-4.55","9.41","0.67"
"20.7","-5.02","8.87","0.71"
"20.8","-5.61","8.67","0.98"
"20.9","-5.41","7.30","0.75"
"21.0","-5.88","7.57","-0.16"
"21.1","-6.08","9.38","-0.04"
"21.2","-4.79","8.59","0.78"
"21.3","-4.79","8.94","0.63"
"21.4","-5.06","9.10","-0.75"
"21.5","-4.71","8.43","-1.33"
"21.6","-4.67","9.14","-0.08"
"21.7","-4.71","8.79","0.24"
"21.8","-5.10","10.04","0.86"
"21.9","-4.63","10.47","0.24"
"22.0","-3.69","7.45","1.26"
"22.1","-4.86","7.22","0.20"
"22.2","-6.43","8.16","-0.75"
"22.3","-6.90","9.06","-0.35"
"22.4","-6.20","8.47","0.00"
"22.5","-6.00","9.38","-0.12"
"22.6","-5.02","8.59","0.08"
"22.7","-4.12","7.49","1.29"
"22.8","-3.61","7.96","-0.24"
"22.9","-4.59","11.81","1.06"
"23.0","-4.12","7.41","1.53"
"23.1","-5.92","8.79","1.41"
"23.2","-5.77","8.28","1.88"
"23.3","-5.26","6.71","0.82"
"23.4","-5.22","7.41","0.86"
"23.5","-6.12","8.75","1.02"
"23.6","-5.53","10.16","1.61"
"23.7","-5.84","6.83","1.29"
"23.8","-5.14","7.96","-0.67"
"23.9","-5.57","9.06","-0.24"
"24.0","-5.57","8.87","0.04"
"24.1","-5.65","7.88","0.27"
"24.2","-5.73","7.85","-0.12"
"24.3","-5.45","8.90","-0.75"
"24.4","-5.37","8.98","-0.35"
"24.5","-5.88","8.24","-0.27"
"24.6","-6.28","7.92","-0.08"
"24.7","-6.39","7.45","0.04"
"24.8","-6.20","9.02","-0.35"
"24.9","-4.94","8.67","0.16"
"25.0","-4.16","8.24","0.35"
"25.1","-4.08","8.32","0.00"
"25.2","-4.28","7.85","1.18"
"25.3","-5.02","8.51","1.45"
"25.4","-5.77","9.49","0.86"
"25.5","-5.61","8.98","1.14"
"25.6","-4.63","6.55","0.71"
"25.7","-4.94","8.36","0.20"
"25.8","-5.84","8.47","0.63"
"25.9","-5.73","9.45","1.80"
"26.0","-5.14","10.04","-0.12"
"26.1","-4.39","8.00","-0.31"
"26.2","-4.35","8.87","-0.47"
"26.3","-4.31","9.06","0.90"
"26.4","-5.02","8.59","0.63"
"26.5","-5.30","8.83","0.47"
"26.6","-5.37","7.92","0.47"
"26.7","-5.61","7.69","0.20"
"26.8","-6.20","8.55","-0.08"
"26.9","-5.77","8.98","0.12"
"27.0","-5.53","9.73","-0.12"
"27.1","-4.94","7.81","0.75"
"27.2","-4.16","8.28","-0.12"
"27.3","-3.61","9.18","0.31"
"27.4","-4.20","9.85","1.37"
"27.5","-4.43","7.65","1.33"
"27.6","-5.26","9.69","1.57"
"27.7","-5.02","8.98","1.45"
"27.8","-4.35","7.37","1.65"
"27.9","-4.79","8.43","1.57"
"28.0","-4.94","9.81","1.45"
"28.1","-4.31","10.08","0.39"
"28.2","-3.22","8.67","1.10"
"28.3","-4.51","9.10","-1.33"
"28.4","-4.94","9.22","-1.29"
"28.5","-4.71","7.06","0.04"
"28.6","-6.59","8.32","-0.08"
"28.7","-7.06","8.51","0.98"
"28.8","-6.08","8.16","0.98"
"28.9","-6.71","7.18","-0.24"
"29.0","-6.28","8.04","-0.78"
"29.1","-6.16","11.92","-1.69"
"29.2","-3.69","8.00","0.75"
"29.3","-3.14","8.08","1.18"
"29.4","-4.08","9.22","0.59"
"29.5","-3.92","7.41","1.49"
"29.6","-5.49","8.98","1.06"
"29.7","-5.81","9.45","1.02"
"29.8","-5.88","6.86","1.65"
"29.9","-5.02","6.83","1.29"
"30.0","-6.79","8.63","0.78"
"30.1","-6.20","10.08","0.04"
"30.2","-4.98","8.24","-0.27"
"30.3","-4.63","7.85","-1.06"
"30.4","-4.47","7.92","-0.55"
"30.5","-5.73","8.32","-0.08"
"30.6","-6.83","9.77","-0.39"
"30.7","-6.90","9.81","-0.59"
"30.8","-6.35","8.04","-1.10"
"30.9","-5.41","6.86","-0.90"
"31.0","-5.96","7.30","-0.24"
"31.1","-6.98","8.36","-0.24"
"31.2","-7.49","9.65","-1.41"
"31.3","-5.69","8.08","0.12"
"31.4","-4.51","8.20","-0.39"
"31.5","-4.51","7.88","0.08"
"31.6","-5.10","8.51","0.78"
"31.7","-6.04","8.20","0.75"
"31.8","-6.35","8.59","0.82"
"31.9","-5.92","7.61","1.06"
"32.0","-5.53","7.61","1.73"
"32.1","-6.32","8.36","0.08"
"32.2","-5.18","8.79","-0.71"
"32.3","-4.98","9.06","-1.26"
"32.4","-4.90","7.57","-0.59"
"32.5","-5.30","7.61","-0.12"
"32.6","-6.24","9.89","0.04"
"32.7","-7.02","9.81","-1.14"
"32.8","-6.51","8.43","-0.35"
"32.9","-6.28","7.02","-0.08"
"33.0","-6.63","9.38","-0.16"
"33.1","-5.92","8.79","-0.67"
"33.2","-4.59","8.20","-0.31"
"33.3","-4.71","8.87","0.12"
"33.4","-4.79","8.20","0.75"
"33.5","-5.49","7.53","-0.16"
"33.6","-6.35","8.51","0.24"
"33.7","-5.37","8.87","1.84"
"33.8","-5.65","7.77","1.02"
"33.9","-6.20","6.59","1.06"
"34.0","-6.63","7.26","0.47"
"34.1","-6.94","9.81","0.78"
"34.2","-6.47","8.51","-0.39"
"34.3","-5.53","7.18","-1.06"
"34.4","-5.37","8.00","-1.37"
"34.5","-6.16","7.88","-0.55"
"34.6","-7.65","7.85","-0.63"
"34.7","-6.55","8.00","-1.57"
"34.8","-5.73","6.63","-1.69"
"34.9","-5.61","8.59","-1.53"
"35.0","-6.08","9.53","-0.59"
"35.1","-6.20","10.12","-1.33"
"35.2","-5.26","8.87","-1.02"
"35.3","-4.28","7.53","-1.33"
"35.4","-4.16","9.81","-1.29"
"35.5","-3.65","9.57","1.22"
"35.6","-4.67","9.26","0.39"
"35.7","-5.53","8.51","-0.71"
"35.8","-6.04","7.57","0.24"
"35.9","-5.45","6.90","0.55"
"36.0","-5.88","8.55","0.51"
"36.1","-5.73","9.81","0.00"
"36.2","-5.61","9.69","0.39"
"36.3","-4.75","7.81","-0.78"
"36.4","-5.02","8.47","-1.10"
"36.5","-5.26","8.67","-0.67"
"36.6","-5.84","8.87","-0.31"
"36.7","-5.26","8.67","0.31"
"36.8","-5.53","8.28","0.55"
"36.9","-5.69","7.65","1.10"
"37.0","-6.20","8.28","0.20"
"37.1","-5.81","8.63","0.51"
"37.2","-5.06","9.18","0.16"
"37.3","-4.31","9.22","0.04"
"37.4","-4.28","8.75","0.82"
"37.5","-5.37","7.73","1.06"
"37.6","-5.69","7.57","-0.59"
"37.7","-5.84","7.57","0.75"
"37.8","-6.43","6.83","0.63"
"37.9","-6.24","8.04","0.86"
"38.0","-6.35","7.18","1.41"
"38.1","-6.79","8.16","0.47"
"38.2","-6.90","10.20","-0.35"
"38.3","-5.45","8.24","0.16"
"38.4","-5.33","7.18","-1.14"
"38.5","-5.61","8.04","-1.65"
"38.6","-5.33","7.77","-1.26"
"38.7","-5.14","7.85","-1.37"
"38.8","-4.79","7.45","-0.16"
"38.9","-6.28","10.32","1.02"
"39.0","-8.36","10.63","-1.14"
"39.1","-7.14","7.65","-0.94"
"39.2","-6.32","6.28","-0.51"
"39.3","-7.02","8.98","-1.14"
"39.4","-5.02","9.69","-0.04"
"39.5","-4.20","8.16","-0.71"
"39.6","-4.82","8.63","-0.82"
"39.7","-5.02","8.12","0.47"
"39.8","-5.06","7.45","0.43"
"39.9","-5.84","8.39","0.55"
"40.0","-5.96","7.77","1.96"
"40.1","-7.14","7.34","-0.55"
"40.2","-6.63","9.30","1.06"
"40.3","-6.59","8.75","-0.98"
"40.4","-6.24","7.57","-0.51"
"40.5","-5.22","6.08","-0.63"
"40.6","-5.53","7.30","-0.39"
"40.7","-5.77","8.90","-0.12"
"40.8","-6.12","9.65","-1.41"
"40.9","-5.18","9.45","-1.26"
"41.0","-5.88","9.85","-1.41"
"41.1","-5.57","9.69","-0.20"
"41.2","-5.53","8.75","0.51"
"41.3","-5.73","8.04","-0.27"
"41.4","-5.65","7.69","-0.86"
"41.5","-6.20","8.39","-0.55"
"41.6","-5.96","7.69","0.31"
"41.7","-5.57","5.92","0.31"
"41.8","-6.04","6.63","0.04"
"41.9","-6.20","11.06","0.04"
"42.0","-5.61","9.85","-0.39"
"42.1","-5.69","9.89","0.82"
"42.2","-5.49","9.22","0.55"
"42.3","-5.33","8.04","0.04"
"42.4","-4.04","6.75","0.24"
"42.5","-4.16","7.37","0.86"
"42.6","-6.16","8.24","-0.08"
"42.7","-6.08","7.96","-0.16"
"42.8","-6.28","8.75","0.27"
"42.9","-5.61","10.32","-1.57"
"43.0","-4.16","10.12","-2.04"
"43.1","-4.86","10.00","-0.94"
"43.2","-5.49","10.08","-0.47"
"43.3","-5.37","8.55","-0.55"
"43.4","-5.45","6.71","-0.47"
"43.5","-5.53","7.37","-0.63"
"43.6","-5.57","7.34","0.12"
"43.7","-5.77","8.04","0.20"
"43.8","-6.20","8.28","-0.12"
"43.9","-5.88","10.28","0.04"
"44.0","-5.53","9.45","0.86"
