NAME:,matan w 1,,
EXPERIMENT TIME:,Thu Jun 01 11:56:25 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
29.5698432,6.04,-1.33,-3.61
29.64534067,12.28,-3.06,-3.69
29.72922675,6.39,-0.75,-3.77
29.80472422,8.79,-3.37,-2.28
29.89699891,7.49,-2.67,-0.9
29.98088499,8.28,-1.92,-2.2
30.06477107,13.26,-2.71,-4.63
30.13187994,4.9,-3.22,-4.67
30.21576602,10.4,-0.67,-4.98
30.29126349,9.3,-4.24,-2.39
30.43386982,7.77,-2.12,-3.77
30.49259008,7.73,-0.24,-2.28
30.56808755,7.57,-1.65,-1.29
30.62680781,12.83,-2.31,-2.47
30.71069389,15.38,-3.18,-4.39
31.17206733,7.85,-0.43,-4.67
31.19723315,7.41,-1.96,-3.37
31.20562176,11.57,-1.77,-4.55
31.23078758,8.79,-1.84,-3.18
31.23078758,7.81,-3.41,-1.92
31.26434202,12.28,-1.84,-1.84
31.39855974,14.28,-5.14,-4.39
31.46566861,3.33,-0.47,-3.33
31.49922304,11.1,-2.31,-4.75
31.59988634,9.38,-4.39,-1.92
31.6669952,8.63,-1.14,-3.69
31.75088128,7.45,-0.9,-1.84
31.83476736,7.26,-1.53,-1.41
31.91865344,14.36,-1.77,-0.39
32.00253952,16.2,-3.77,-4.86
32.06125978,6.63,0.04,-4.55
32.15353446,9.1,-2.55,-3.22
32.28775219,8.9,-0.71,-4.75
32.35486106,10.59,-2.47,-3.49
32.42196992,7.22,-3.8,-1.29
32.48907878,8.28,-1.65,-1.22
32.57296486,10.98,-1.8,-1.45
32.63168512,14.44,-5.92,-4.47
32.72395981,4.9,-0.31,-3.3
32.80784589,7.77,-1.65,-4.39
32.88334336,10.08,-4.2,-3.37
32.95884083,8.79,-1.88,-4.2
33.04272691,8.04,-1.33,-1.84
33.16855603,5.96,-2.04,-1.41
33.2356649,12.91,-1.57,-3.22
33.30277376,17.81,-2.12,-6.9
33.36988262,7.73,-0.31,-4.39
33.4537687,7.18,-3.14,-2.9
33.52087757,12.4,-1.06,-5.73
33.60476365,8.08,-2.51,-2.47
33.69703834,7.92,-2.63,-2.08
33.78092442,7.65,-2.79,-0.86
33.8648105,10.43,-1.92,-0.86
33.94869658,13.73,-4.31,-4.08
34.00741683,3.65,-1.8,-3.18
34.10808013,10.98,-1.49,-3.96
34.17518899,10.12,-4.31,-2.08
34.30940672,7.96,-2.24,-3.37
34.38490419,7.3,-0.71,-1.84
34.42684723,7.96,-1.8,-2.39
34.5023447,14.4,-1.02,-2.75
34.58623078,11.14,-0.59,-3.14
34.67011686,3.73,-2.16,-4.86
34.75400294,10.75,-2.47,-3.37
34.84627763,7.37,-0.55,-3.8
34.90499789,7.77,-2.98,-2.31
34.98888397,7.37,-3.65,-0.55
35.08954726,6.94,-3.22,-2.9
35.15665613,14.32,-2.86,-4.24
35.22376499,4.79,-4.12,-3.45
35.32442829,8.94,0.43,-4.51
35.39153715,10.32,-3.45,-2.86
35.47542323,8.43,-1.84,-3.45
35.55930931,7.85,-0.24,-1.57
35.64319539,6.9,-2.12,-0.47
35.72708147,13.69,-1.61,0.16
35.80257894,16.28,-3.3,-3.84
35.89485363,5.65,-0.2,-4.28
35.9703511,7.85,-2.55,-2.75
36.04584858,12.43,-1.77,-4.2
36.11295744,8.51,-1.88,-2.16
38.65470566,7.14,-3.3,-1.26
39.15802214,7.77,-2.71,-1.06
39.15802214,13.02,-2.63,-1.29
39.65295002,14.08,-6,-3.77
40.1562665,3.88,0.12,-1.77
40.18982093,10.04,-2.75,-5.41
40.19820954,9.85,-1.73,-2.9
40.20659814,9.06,-2.47,-3.18
40.22337536,7.73,-2.28,-2.2
40.24015258,10.2,-6.79,-3.53
40.31565005,5.57,1.26,-4.12
40.40792474,11.65,-4.51,-5.18
40.46664499,8.87,-2.35,-3.22
40.55891968,8.43,-1.37,-2.12
40.64280576,6.86,-1.53,-0.39
40.72669184,11.77,-1.53,-5.02
40.82735514,13.69,-5.88,-4.2
40.894464,11.02,-0.59,-2.9
40.96157286,4.2,-2.35,-4.16
41.03707034,10.79,-1.88,-2.47
41.12934502,7.45,-0.94,-4.9
41.19645389,8.9,-4.75,-1.88
41.28872858,7.1,-2.31,-1.29
41.37261466,9.73,-1.45,-1.84
41.43972352,16.63,-4.9,-4.2
41.5236096,10.4,-5.96,-3.77
41.60749568,4.94,0.59,-4.12
41.69977037,11.02,-3.92,-4.2
41.76687923,8.9,-3.96,-3.41
41.90948557,8.79,-1.45,-2.35
41.96820582,6.32,-0.78,-1.33
42.01853747,10.75,-1.26,-3.92
42.09403494,17.93,-6.67,-5.65
42.17792102,10.36,0.08,-4.47
42.2618071,5.18,-3.22,-4.2
42.34569318,10.32,-2.98,-3.02
42.42119066,7.65,-1.41,-2.79
42.50507674,7.73,-3.41,-1.53
42.58057421,6.51,-1.49,-2.51
42.64768307,11.77,-1.84,-1.69
42.79028941,15.85,-6,-4.08
42.85739827,8.98,-5.33,-2.79
42.92450714,4.86,0.63,-4.08
42.991616,13.53,-4.75,-5.37
43.06711347,8.36,-3.1,-3.53
43.15938816,8.28,-1.33,-2.75
43.23488563,6.79,-0.75,-1.45
43.32716032,10.32,-1.57,-3.45
43.39426918,11.1,-2.39,0.35
43.47815526,12.63,0.04,-2.51
43.57042995,6.75,-1.06,-4.94
43.62915021,7.41,-1.88,-3.41
43.70464768,12.16,-1.1,-4.59
43.83886541,8.28,-2.75,-2.35
43.90597427,7.53,-2.82,-1.37
43.96469453,8.47,-2.63,-0.31
44.05696922,16.51,-3.3,-2.12
44.11568947,14.79,-5.65,-4.55
44.19957555,2.79,-0.59,-3.3
44.28346163,13.06,-3.69,-4.51
44.36734771,8.9,-4.16,-2.24
44.45123379,7.77,-1.41,-2.71
44.51834266,7.14,-1.1,-2.08
44.64417178,9.3,-1.14,-2.04
44.71128064,12.04,-2.86,-0.75
44.7783895,14.04,-0.08,-2.71
44.84549837,6.08,-1.84,-4.47
44.92938445,7.92,-2.24,-3.33
45.02165914,10.83,-1.77,-2.67
45.088768,7.45,-2.71,-2.47
45.18104269,8.71,-2.71,-2.47
45.64241613,8.67,-3.69,-1.41
46.14573261,13.49,-3.57,-3.26
46.17089843,9.96,-6.39,-4.51
46.17928704,6.2,1.18,-2.28
46.18767565,10.32,-4.51,-4
46.22123008,11.92,-2.55,-3.92
46.30511616,6.71,-0.86,-2.94
46.38900224,7.3,-3.06,-2.59
46.48127693,7.34,-2.39,-0.86
46.5567744,9.22,-4.08,-3.06
46.62388326,13.45,-2.59,-3.3
46.74971238,7.37,-4.39,-4.2
46.80004403,7.37,-0.2,-4.9
46.8755415,10.98,-5.14,-3.06
46.95942758,8.08,-1.49,-2.71
47.04331366,9.1,-1.22,-1.65
47.12719974,7.41,-2.39,-1.41
47.18592,11.22,-2.2,-3.8
47.26980608,14.32,-4.86,-4.67
47.36208077,9.61,0.78,-5.02
47.44596685,7.73,-2.28,-4.16
47.52146432,10.47,-1.41,-2.55
47.65568205,8.2,-3.77,-2.12
47.7144023,9.45,-3.73,-2.12
47.77312256,7.3,-2.47,-1.26
47.84862003,9.85,-4.51,-2.12
47.9157289,9.92,-3.45,0.82
47.99961498,12.94,-7.26,-5.26
48.08350106,5.37,0.67,-2.31
48.18416435,9.53,-5.18,-2.71
48.25127322,7.22,-2.2,-1.96
48.32677069,6,-0.86,-2.67
48.41065677,9.85,-0.94,-0.71
48.48615424,9.26,-1.69,-3.22
48.62876058,12.36,-1.77,-0.12
48.67909222,12.28,0.9,-3.8
48.73781248,5.06,-2.47,-4.86
48.82169856,8.32,-1.65,-3.1
48.88880742,8.75,-0.71,-3.92
48.9726935,9.26,-3.73,-2.55
49.06496819,7.45,-3.06,-1.26
49.14046566,8.75,-2.94,-2.39
49.22435174,12.04,-3.53,-2.24
49.31662643,11.49,-8.83,-6.2
49.37534669,6.9,1.37,-3.88
49.51795302,9.18,-4.16,-3.3
49.58506189,8.55,-2.71,-2.55
49.65217075,7.69,-1.06,-2.55
49.7025024,6.9,-1.96,-2
49.77799987,10.36,-2.2,-4.16
49.87027456,13.34,-1.33,-3.73
49.95416064,11.41,0.08,-4.47
50.03804672,4.35,-2,-3.8
50.13032141,8.67,-0.47,-4.75
50.19743027,10,-1.61,-4
50.29809357,7.53,-2.71,-2.82
50.39875686,6.47,-2.9,-1.49
50.45747712,8.98,-3.02,-2.67
50.52458598,13.57,-4.67,-1.37
50.60008346,13.14,-8.55,-6.67
50.68396954,6.04,0.9,-4
50.76785562,9.69,-3.84,-3.41
50.82657587,8.55,-2.2,-1.57
50.91885056,8.2,-1.26,-2.39
50.99434803,6.9,-2.04,-1.88
51.08662272,10.47,-0.86,-4.16
51.62349363,15.53,-3.69,-5.92
51.64027085,10.16,-0.98,-3.96
52.12681011,5.65,-2.24,-4.28
52.62173798,11.77,-2.35,-2.31
52.6385152,6.94,-1.88,-2.08
53.12505446,7.18,-2.71,-1.29
53.14183168,11.38,-1.57,-5.45
53.61998234,9.61,-3.22,-2.47
53.62837094,7.26,-2.94,-1.77
54.12329882,7.88,-2.24,-0.75
54.61822669,15.18,-3.65,-4.9
54.6266153,17.81,-5.26,-2.67
54.65178112,5.14,-1.8,-4
54.66016973,8.63,-2.9,-4.67
54.66016973,10.51,-4,-3.3
54.72727859,9.73,-0.24,-2.08
54.80277606,6.75,-0.78,-0.47
54.89505075,8.79,-2.16,-3.8
54.97893683,16,-4.59,-6.9
55.06282291,1.45,3.69,-5.61
55.17187482,5.3,-2.43,-3.22
55.23898368,10.28,-1.22,-3.33
55.30609254,8.67,-1.22,-2.86
55.37320141,7.73,-4.16,-1.77
55.4654761,6.9,-2.9,0.16
55.54936218,8.55,-1.88,-1.53
55.60808243,14.24,-3.06,-3.69
55.70035712,4.82,-2.67,-3.02
55.77585459,9.57,-1.45,-4.47
55.86812928,9.85,-4.2,-2.98
55.95201536,8.67,-1.33,-3.53
56.03590144,7.3,-0.31,-1.41
56.13656474,7.22,-1.37,-0.55
56.2036736,13.14,-2.28,-0.31
56.27917107,14.59,-1.06,-3.06
56.34627994,5.77,-2.63,-4.35
56.43016602,7.26,-0.9,-3.77
56.5140521,11.57,-1.77,-3.06
56.58116096,7.53,-2.67,-2.55
