"NAME: ","wal_1_1.csv"
"EXPERIMENT TIME: ","08/06/2023 14:35:29"
"ACTIVITY TYPE: ","WALKING"
"COUNT OF ACTUAL STEPS: ","100"

"Time[sec]","ACC X","ACC Y","ACC Z"
"37.0","-8.87","5.81","0.78"
"37.1","-8.08","6.20","0.08"
"37.2","-6.98","4.04","0.16"
"37.3","-7.18","4.04","0.67"
"37.4","-8.98","6.24","1.77"
"37.5","-9.10","8.28","1.26"
"37.6","-7.45","8.47","1.14"
"37.7","-6.47","5.26","0.63"
"37.8","-5.41","4.35","0.82"
"37.9","-7.34","5.18","1.77"
"38.0","-9.53","8.24","1.88"
"38.1","-8.83","7.57","0.55"
"38.2","-8.55","7.02","-0.47"
"38.3","-6.20","5.22","1.06"
"38.4","-6.20","4.31","1.37"
"38.5","-7.57","4.20","1.65"
"38.6","-8.51","6.35","2.00"
"38.7","-9.22","7.10","1.37"
"38.8","-8.24","7.41","1.77"
"38.9","-5.53","3.41","1.53"
"39.0","-6.32","3.33","1.57"
"39.1","-8.55","4.28","2.31"
"39.2","-10.55","6.12","3.14"
"39.3","-8.59","6.67","1.88"
"39.4","-8.24","5.73","1.22"
"39.5","-7.10","3.73","1.14"
"39.6","-6.24","2.90","0.98"
"39.7","-8.28","5.30","1.88"
"39.8","-9.92","5.88","2.82"
"39.9","-8.51","5.18","1.49"
"40.0","-7.53","6.71","2.98"
"40.1","-5.65","4.08","1.49"
"40.2","-7.34","3.10","1.65"
"40.3","-9.96","4.47","2.35"
"40.4","-10.67","7.73","3.30"
"40.5","-8.20","6.20","1.33"
"40.6","-7.18","5.06","1.45"
"40.7","-6.67","3.14","1.41"
"40.8","-6.51","3.41","1.45"
"40.9","-9.06","7.22","2.82"
"41.0","-8.39","6.83","2.86"
"41.1","-6.94","6.90","2.86"
"41.2","-5.14","4.71","1.69"
"41.3","-5.41","4.20","2.67"
"41.4","-7.49","5.26","4.04"
"41.5","-9.57","8.08","4.39"
"41.6","-7.69","6.08","1.49"
"41.7","-7.10","5.96","2.47"
"41.8","-6.20","4.16","1.84"
"41.9","-5.92","3.88","2.24"
"42.0","-7.61","6.47","2.51"
"42.1","-9.38","7.81","2.82"
"42.2","-7.85","6.47","2.35"
"42.3","-6.79","5.06","2.12"
"42.4","-5.69","3.69","1.61"
"42.5","-6.94","3.61","2.31"
"42.6","-9.26","6.04","3.14"
"42.7","-10.47","7.73","2.67"
"42.8","-8.75","5.53","0.59"
"42.9","-6.75","4.90","1.92"
"43.0","-6.59","3.77","2.12"
"43.1","-7.02","4.79","2.00"
"43.2","-7.88","7.57","1.96"
"43.3","-8.83","6.43","0.82"
"43.4","-8.51","6.63","0.78"
"43.5","-6.20","4.98","0.86"
"43.6","-6.39","3.26","0.94"
"43.7","-9.34","2.86","2.51"
"43.8","-12.32","7.02","1.33"
"43.9","-8.63","6.24","0.08"
"44.0","-7.88","5.57","0.82"
"44.1","-6.71","4.16","0.90"
"44.2","-6.67","4.20","1.22"
"44.3","-8.55","5.96","1.26"
"44.4","-9.45","6.55","1.37"
"44.5","-7.69","6.47","2.63"
"44.6","-6.55","6.59","2.67"
"44.7","-5.84","4.94","1.41"
"44.8","-7.02","4.12","1.96"
"44.9","-9.53","4.08","2.28"
"45.0","-11.30","6.75","2.55"
"45.1","-8.28","6.12","0.31"
"45.2","-7.30","5.77","1.57"
"45.3","-6.55","3.61","1.49"
"45.4","-6.86","3.57","1.41"
"45.5","-8.94","6.20","2.08"
"45.6","-9.18","6.79","1.92"
"45.7","-8.08","7.41","1.88"
"45.8","-7.45","6.59","1.80"
"45.9","-6.08","3.92","1.33"
"46.0","-6.94","2.82","1.69"
"46.1","-9.38","5.26","2.16"
"46.2","-10.12","10.20","3.10"
"46.3","-6.94","6.63","0.63"
"46.4","-6.86","5.88","0.67"
"46.5","-7.61","5.14","0.98"
"46.6","-7.34","4.47","1.29"
"46.7","-8.59","5.92","1.10"
"46.8","-9.38","7.88","1.92"
"46.9","-7.53","8.83","1.92"
"47.0","-5.45","4.43","1.88"
"47.1","-5.96","4.55","1.29"
"47.2","-6.98","3.37","2.20"
"47.3","-8.51","6.55","3.49"
"47.4","-9.89","8.08","3.45"
"47.5","-8.04","7.45","1.69"
"47.6","-6.35","4.86","1.22"
"47.7","-6.79","4.35","1.53"
"47.8","-7.14","3.69","1.22"
"47.9","-8.63","6.04","2.31"
"48.0","-9.06","7.92","2.51"
"48.1","-7.02","8.39","2.59"
"48.2","-5.88","5.53","1.84"
"48.3","-5.45","3.18","1.77"
"48.4","-6.90","3.61","1.84"
"48.5","-9.57","6.20","2.31"
"48.6","-9.45","8.75","2.08"
"48.7","-8.16","8.90","0.47"
"48.8","-5.77","5.61","0.55"
"48.9","-5.92","4.20","1.18"
"49.0","-7.06","4.47","0.98"
"49.1","-8.83","7.06","2.31"
"49.2","-8.43","7.53","2.75"
"49.3","-7.69","7.96","2.67"
"49.4","-5.53","3.92","1.69"
"49.5","-5.73","3.96","1.61"
"49.6","-7.92","4.35","2.79"
