NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
22.7499049,-20.01,4.16,-8.12
22.76668211,-10,1.92,-5.14
22.77507072,1.96,-2.2,2.55
22.78345933,-0.98,1.57,-3.8
22.82540237,-8.39,-1.69,-9.02
22.86734541,-20.01,3.65,-9.1
22.92606566,-20.01,0,-8.04
23.00995174,-4.35,-0.39,-0.98
23.10222643,1.84,2.55,0.04
23.18611251,-4.39,-1.92,-3.49
23.26999859,-18.71,3.77,-11.38
23.36227328,-20.01,0.67,-7.14
23.43777075,-11.73,3.02,-8.51
23.53843405,2.47,-3.14,2.98
23.62232013,-2.08,2.28,-3.65
23.71459482,-4.28,1.29,-4.12
23.78170368,-20.01,2,-9.61
23.84042394,-20.01,2.86,-7.88
23.9075328,-3.88,-0.47,-2.59
23.97464166,-0.63,1.65,2.51
24.07530496,-2.9,1.77,-3.45
24.15919104,-12.71,1.8,-13.57
24.25985434,-19.46,2.12,-10.16
24.36051763,-17.5,-0.47,-7.45
24.41923789,0.12,1.65,-0.94
24.49473536,-5.1,0.27,0.35
24.58701005,-2.2,2.16,-1.53
24.6373417,-18.24,-0.63,-13.14
24.72122778,-20.01,4.82,-11.26
24.81350246,-10.36,0.24,-5.53
24.91416576,4.08,0.24,0.08
24.98127462,-3.57,-1.29,-3.22
25.03999488,-5.92,-0.12,-7.02
25.12388096,-20.01,5.92,-9.65
25.21615565,-18.4,1.26,-8.75
25.31681894,-3.3,-0.39,-0.94
25.3755392,-2.98,1.65,1.65
25.45103667,-4.39,3.96,-7.61
25.54331136,-15.53,-5.1,-8.67
25.64397466,-19.46,3.41,-10.67
25.72786074,-12.28,0.16,-5.92
25.80335821,3.69,0.98,0.78
25.85368986,-2.31,-0.16,-3.69
25.92079872,-4.55,-5.41,-6.35
26.0046848,-20.01,4.08,-10.16
26.09695949,-19.42,3.65,-10.36
26.18923418,-2.82,2,-0.43
26.28989747,-4.16,0.86,0.86
26.35700634,-0.9,0.2,-2.75
26.43250381,-13.18,-1.92,-12.4
26.5247785,-19.1,-2.2,-8.32
26.60866458,-16.12,3.1,-5.92
26.68416205,-1.02,-1.18,-1.84
26.7428823,-1.02,1.26,-2.39
26.8435456,-3.14,-1.18,-4.51
26.93582029,-20.01,6.94,-8.79
26.99454054,-20.01,5.41,-9.41
27.07842662,-5.88,0.43,-2.43
27.17070131,-6.04,0.35,0.94
27.25458739,-1.65,1.22,-2.2
27.34686208,-11.18,-5.14,-4.31
27.42235955,-20.01,7.92,-7.69
27.48946842,-16.91,1.02,-7.22
27.5817431,1.57,1.88,-2.67
27.6824064,-1.57,-2.75,-2.79
28.16055706,-2.16,-1.57,-2.86
28.22766592,-16.75,10.83,-9.49
28.24444314,-20.01,0.78,-11.02
28.26960896,-6.35,0.98,-4.24
28.31994061,-8.39,3.49,-12.47
28.33671782,-19.18,3.53,-12.75
28.37866086,-20.01,1.65,-7.73
28.44576973,-2.9,0.39,-0.94
28.52965581,-1.22,0.82,1.61
28.6219305,-3.41,-0.43,-2.43
28.72259379,-14,5.96,-12.36
28.79809126,-20.01,-0.04,-9.89
28.86520013,-12.94,1.92,-8.2
28.9406976,2.31,-0.67,0.24
29.0413609,-1.96,1.57,-0.94
29.11685837,-1.92,2.63,-2.59
29.17557862,-19.5,-2,-12
29.2510761,-20.01,5.77,-10.59
29.33496218,-6.71,-1.14,-3.57
29.44401408,1.06,4.63,1.8
29.54467738,-2.82,0.39,-1.84
29.61178624,-15.85,5.92,-7.53
29.68728371,-20.01,-5.02,-9.61
29.78794701,-15.61,0.78,-8.87
29.8886103,1.45,0.43,0.86
29.95571917,-1.29,3.73,-1.37
29.99766221,0.51,-0.27,-3.84
30.08154829,-20.01,-3.3,-11.61
30.15704576,-20.01,3.26,-10.47
30.24932045,-10.24,-0.51,-5.1
30.33320653,5.26,-0.04,-0.08
30.43386982,-4.75,-3.41,-2.94
30.5093673,-8.55,-0.63,-6.83
30.57647616,-20.01,1.53,-12.2
30.65197363,-20.01,2.86,-11.18
30.73585971,-3.69,-0.08,-2.31
30.81974579,-3.92,0.75,3.06
30.92040909,-1.88,0.51,-1.1
31.00429517,-10.9,-2.16,-11.77
31.04623821,-20.01,7.53,-10.94
31.13012429,-19.06,0.27,-7.88
31.22239898,5.1,2.63,-0.82
31.32306227,-4.24,-2.2,-2.79
31.39017114,-0.9,0.16,-1.69
31.48244582,-16.83,6.98,-13.45
31.54955469,-20.01,0.55,-12.87
31.62505216,-8.94,1.69,-4.86
31.72571546,0.67,-4.67,1.37
31.80121293,-0.78,5.26,-5.41
31.83476736,-8.71,0.55,-9.61
31.91026483,-20.01,4.2,-9.85
31.99415091,-18.08,3.45,-8.51
32.09481421,-3.57,-2.47,-0.55
32.1954775,-1.73,4.24,-0.27
32.28775219,-1.02,-0.67,-0.98
32.37163827,-19.89,6.08,-17.34
32.41358131,-20.01,0.16,-7.1
32.48069018,-13.1,1.53,-7.45
32.54779904,2.04,-0.78,2.67
32.65685094,0.31,3.92,-2.39
