NAME:,matan r 2,,
EXPERIMENT TIME:,Thu Jun 01 12:45:58 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,163,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
35.10632448,15.3,5.73,-17.57
35.19859917,7.77,0.16,-4.55
35.28248525,-6.79,-1.33,-1.96
35.36637133,-0.55,-2.63,-3.88
35.43348019,19.97,-3.84,-19.61
35.51736627,16.04,-1.33,-8.39
35.64319539,0.71,1.22,-1.57
35.68513843,-7.45,3.3,-3.61
35.7522473,8.75,1.45,-14.36
35.83613338,18.55,7.77,-10.55
35.92001946,8.75,-0.04,-5.18
36.01229414,-3.96,-1.69,-3.02
36.09618022,-1.96,-2.04,-3.69
36.15490048,20.01,2.2,-19.97
36.24717517,18.36,-2.47,-12.55
37.2202537,4.2,1.69,-4.08
37.71518157,-10.08,0.9,-3.41
38.21010944,1.8,2.39,-4.82
38.24366387,20.01,8.2,-20.01
38.71342592,8.28,-1.61,-12.87
38.72181453,10.67,0.78,-6.16
39.2167424,-4,0,0.63
39.71167027,-5.14,2.16,-4.86
39.7368361,19.81,3.69,-19.73
39.7452247,12.87,3.53,-7.22
39.75361331,-1.57,-1.88,-0.86
39.75361331,-5.1,1.49,-4.12
39.76200192,10.32,5.14,-13.61
39.81233357,2.43,-0.75,-5.14
39.88783104,20.01,-4.31,-20.01
39.96332851,13.49,0.24,-6.86
40.0556032,-5.41,0.63,-1.06
40.13948928,-5.02,2.67,-4.04
40.22337536,-0.78,6.24,-11.22
40.29887283,20.01,5.61,-14.24
40.3743703,9.14,-0.78,-5.22
40.46664499,-5.1,-3.33,-2.86
40.54214246,-1.73,-1.77,-3.77
40.63441715,20.01,4.71,-20.01
40.69313741,20.01,-5.3,-8.08
40.77702349,3.65,0.47,-5.3
40.86929818,-10.83,2.94,-2.47
40.95318426,1.37,1.26,-3.8
41.01190451,20.01,1.45,-20.01
41.09579059,10.94,3.33,-7.65
41.17128806,-1.14,-2,-1.73
41.32228301,-3.92,-3.61,-1.65
41.38939187,1.65,-5.37,-10.67
41.4229463,20.01,-2,-17.38
41.50683238,11.69,2.04,-6
41.59910707,-8.36,1.53,-2.24
41.67460454,-0.9,1.22,-4.08
41.76687923,19.1,3.73,-14.98
41.82559949,17.5,5.73,-7.61
