NAME:,walk arbel.csv,,
EXPERIMENT TIME:,18/06/2023 9:36,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,104,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
25.400002,0.92,0.04,-8.67
25.5,1.49,0.12,-9.69
25.61,0.82,-0.67,-9.18
25.71,2.04,-1.1,-9.57
25.809998,0.59,-1.57,-12.24
25.909996,0.39,0.59,-13.06
26.010002,0.94,0.08,-7.88
26.119995,0.08,-0.39,-8.75
26.220001,0.24,0.39,-9.81
26.32,1.49,-0.12,-9.77
26.419998,-0.55,0.04,-12.12
26.519997,-1.45,-0.24,-12.55
26.629997,2.2,-0.63,-9.14
26.729996,1.02,0,-8.51
26.830002,0.82,-0.86,-9.85
26.93,1.69,-0.63,-10.12
27.029999,1.26,-1.18,-11.89
27.14,1.45,-0.94,-14
27.239998,0.82,1.53,-8.36
27.339996,0.47,-0.31,-9.81
27.440002,0.39,0.24,-8.32
27.54,1.22,-0.24,-9.73
27.650002,-0.04,0.39,-12.28
27.75,0.82,0.04,-11.57
27.849998,0.73,-0.55,-9.57
27.949997,0.16,-0.24,-8.04
28.049995,0.24,-0.82,-9.81
28.159996,1.22,-0.67,-10.04
28.260002,0.55,-1.57,-11.96
28.36,0.51,-1.53,-12.98
28.46,0.51,0.08,-10.28
28.559998,0.43,-0.35,-8.32
28.669998,0.55,-0.35,-8.83
28.769997,1.22,-0.98,-11.22
28.869995,0.75,-0.27,-12.16
28.970001,0.51,-0.16,-11.57
29.07,0.86,-0.35,-10.16
29.18,0.24,-0.67,-7.88
29.279999,0.55,-0.94,-9.53
29.379997,1.57,-1.02,-10.43
29.479996,1.22,-1.69,-12.2
29.580002,0.14,-0.82,-11.69
29.690002,0.59,-0.98,-10.12
29.79,0.12,-0.27,-8
29.89,0.67,-0.47,-9.69
29.989998,2.04,-1.06,-10.43
30.089996,1.41,-0.59,-12.87
30.199997,0,-0.51,-11.22
30.299995,0.16,-0.16,-8.47
30.400002,1.65,-1.69,-9.02
30.5,0.35,-1.69,-9.45
30.599998,1.33,-1.45,-9.77
30.71,2.12,-1.33,-12
30.809998,0.94,-0.75,-8.43
30.909996,0.75,-1.53,-9.61
31.010002,0.22,-1.45,-9.89
31.11,0.04,-0.82,-10.16
31.220001,0.2,-0.94,-10.24
31.32,-1.02,-2.71,-11.14
31.419998,0.51,0.9,-12.04
31.519997,0.45,0.75,-8.51
31.619995,0,0.16,-9.61
31.729996,0.71,-0.86,-9.34
31.830002,0.78,-0.59,-10.16
31.93,2.28,-2.08,-12.32
32.03,0.16,-1.73,-12
32.129997,0.41,0,-7.26
32.239998,0.24,0.08,-11.14
32.339996,0.59,-0.51,-9.92
32.440002,1.06,-0.31,-9.38
32.54,1.1,-1.06,-11.34
32.64,2.2,-1.61,-12.47
32.75,0,-1.29,-8.36
32.85,0.35,-1.1,-10.55
32.949997,0.75,-1.18,-9.38
33.049995,0.71,-1.18,-8.75
33.15,1.33,-1.53,-10.98
33.260002,3.49,-2.24,-13.38
33.36,0.37,0.35,-7.1
33.46,1.06,-1.57,-11.77
33.559998,0.51,-0.47,-8.75
33.659996,0.04,-0.27,-8.87
33.769997,1.61,-1.26,-11.34
33.869995,0.98,-0.16,-11.92
33.97,0,-0.39,-12.36
34.07,0.49,-0.39,-9.14
34.17,0.39,-1.02,-8.63
34.28,0.27,-1.06,-9.73
34.379997,1.77,-1.02,-9.77
34.479996,0.98,-1.41,-12.04
34.58,0.08,-0.31,-12.63
34.68,0.73,0.51,-9.77
34.79,0.04,-0.08,-7.92
34.89,0.43,0,-9.22
34.989998,1.73,-0.71,-9.57
35.089996,0.75,-0.16,-11.26
35.190002,3.26,-1.45,-14.2
35.299995,2.39,0.24,-7.57
35.4,0.12,-0.51,-11.61
35.5,0.82,-0.67,-9.14
35.6,0.9,-1.02,-9.06
35.699997,-0.67,-0.67,-10.2
35.809998,3.33,-2.51,-14.55
35.909996,0.9,0.39,-7.34
36.010002,0.75,-1.26,-12.67
36.11,0.12,-0.04,-7.45
36.21,-0.98,-0.16,-9.65
36.32,0.86,-0.78,-10.83
36.42,2.16,-0.94,-12.2
36.519997,0.63,1.02,-11.96
36.619995,0.86,-0.86,-9.49
36.72,-0.12,-0.82,-8.12
36.83,0,-0.82,-9.53
36.93,1.77,-0.94,-10.83
37.03,0.55,-2.04,-12.55
37.129997,0.9,0.08,-13.06
37.229996,0.73,-0.82,-10.04
37.339996,0.02,0.08,-8.12
37.440002,0.12,-0.39,-9.3
37.54,0.55,0.04,-10.16
37.64,0.63,-0.78,-11.73
37.739998,0.24,0.12,-13.14
37.85,0.2,-1.26,-8.47
37.949997,0.24,-0.24,-9.14
38.049995,0.08,-0.71,-9.38
38.15,0.86,-0.67,-9.38
38.25,0.71,-1.06,-12
38.36,1.92,-1.49,-15.65
38.46,0.67,0.63,-7.26
38.559998,0,-0.59,-10.2
38.659996,0.63,-0.04,-9.14
38.760002,1.33,-0.04,-9.41
38.869995,0.39,-0.16,-11.53
